movieName|movieID|movieDuration|showingStatus|synopsis|viewingMode|movieHype|movieSales|ageRating|overallReviews|moviePersonnelList
Black Panther:Wakanda Forever|1|161|PREVIEW|Queen Ramonda, Shuri, M'Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T'Challa's death.|_2D|BLOCKBUSTER|15|PG13|5Greatly enjoyed it~3Found it boring~5It was a great movie, I would reccomend others to watch it!|Ryan Coogler~Chadwick Boseman~Tenoch Huerta
Black Adam|2|125|NOWSHOWING|In ancient Kahndaq, Teth Adam was bestowed the almighty powers of the gods. After using these powers for vengeance, he was imprisoned, becoming Black Adam.|_3D|BLOCKBUSTER|4|PG13|2Poorly executed movie~1Did not enjoy it|Jaume Collet-Serra~Dwayne Johnson~Sarah Shahi
Ajoomma|3|90|NOWSHOWING|Ajoomma is a Singaporean-Korean drama film directed by He Shuming. It stars Hong Hui Fang, Kang Hyung-seok and Jung Dong-hwan|_2D|REGULAR|0|NC16|5Greatly enjoyed it~3Found it boring|Shuming He~Hong Huifang~Yeo Jin-goo
Miss Americano|4|90|PREVIEW|Pop singer Demi Lovato reveals the intimate details of her life while shocasing backstage and onstage concert footage|_3D|BLOCKBUSTER|43|PG13|5WOW~4Amazing show|Low Zhe Kai~Taylor Swift~Kanye South
The Muppet Movie|5|97|NOWSHOWING|Kermit the Frog sets out to pursue a career in Hollywood along with his muppet friends. However, he must evade the owner of a frog-leg restaurant who wishes to kill him.|_3D|REGULAR|32|G|3Great show~4Quite amazing|James Frawley~Jim Henson~Dave Goelz
Harry Potter and the Philosopher's Stone|6|152|ENDOFSHOWING|Harry Potter, an eleven-year-old orphan, discovers that he is a wizard and is invited to study at Hogwarts. Even as he escapes a dreary life and enters a world of magic, he finds trouble awaiting him.|_2D|BLOCKBUSTER|7|PG13|5Best show~4Amazing show|Chris Columbus~Daniel Radcliffe~Emma Watson
Transformers|7|144|PREVIEW|The noble Autobots and Decepticons, two intergalactic races of robots, crash land on Earth. They battle for Allspark, the ultimate power source, whose location is held by Sam.|_3D|BLOCKBUSTER|22|R21|3Explosions~2Boom~5Great show, hopefully it works better~5wonderful movie!|Micheal Bay~Megan Fox~Shia LeBeouf
Spiderman|8|150|NOWSHOWING|Peter Parker's life changes when he is bitten by a genetically altered spider and gains superpowers. He uses his powers to help people and finds himself facing the Green Goblin, an evil maniac.|_3D|BLOCKBUSTER|9|NC16||Sam Raimi~Tobey Maguire~Kirsten Dunst~Willem Dafoe
Spider-Man 2|9|127|ENDOFSHOWING|Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.|_2D|BLOCKBUSTER|21|PG13||Sam Raimi~Peter Parker~Otto Octavius~Mary Jane
1917|10|165|PREVIEW|War movie|_2D|REGULAR|0|R21||Sam Mendes~George MacKay~Richard Madden
